STATION,NAME,DATE,SNWD,TAVG,TMAX,TMIN
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-15,0,,84,60
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-16,0,,82,63
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-17,0,,78,55
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-18,0,,67,56
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-19,0,,66,58
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-20,0,,69,59
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-21,0,,75,55
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-22,0,,74,51
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-23,0,,82,60
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-24,0,,83,63
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-25,0,,78,61
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-26,0,,84,67
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-27,0,,84,68
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-28,0,,83,58
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-29,0,,78,60
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-30,0,,79,66
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-31,0,,84,62
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-01,0,,86,68
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-02,0,,83,57
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-03,0,,68,45
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-04,0,,71,52
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-05,0,,80,58
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-06,0,,80,59
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-07,0,,78,60
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-08,0,,76,64
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-09,0,,74,56
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-10,0,,70,50
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-11,0,,72,46
